document,file,proof_layer_id,control,nist_800_53_r5,risk,covered,n_keywords_matched,n_keywords_total,matched_keywords,hits_near_negation,snippet_1,snippet_2
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-16,Network Segmentation,SC-7,MEDIUM,1,2,7,network segmentation; zero trust,0,gns to identify weaknesses that affect a system’s cybersecurity and configuration management. assessments shall include review of network segmentation and access policy enforcement to align to zta and reduce the potential entry points for attackers. 200.3.4 software security asse,updated: 02/18/2026 200 policy the following sections detail the state’s cybersecurity risk management policy which aligns to the zero trust architecture (zta) principles by shifting the security paradigm from implicit trust to continuous verification. 200.1 risk appeti
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-17,Security Awareness Training,AT-2,MEDIUM,0,0,5,,0,,
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-18,Personnel Screening / Background Checks,PS-3,MEDIUM,0,0,5,,0,,
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-19,Backup & Recovery,CP-9,HIGH,1,1,7,rpo,0,"ona 02/18/2026 i state of maryland cybersecurity risk management policy md-pol-201-01 last updated: 02/18/2026 100 introduction purpose: this policy establishes the requirements for managing information security risk to the state by assessing risk, responding to ",
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-20,Contingency / Disaster Recovery Plan,CP-2,HIGH,0,0,5,,0,,
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-21,Third-Party / Vendor Risk Management,SR-1,MEDIUM,1,2,6,supply chain; third party,1," security impact, available alternatives). 200.4.2 supplier risk management: apply each activity outlined in section 200.2 to the supply chain so that external vendors or third-party suppliers are not blindly trusted. 7 state of maryland cybersecurity risk management poli",......................................................................................................................... 6 200.4 third party risk management ................................................................................................. 7 300 approval 
MD Risk Mgmt Policy,MD_DOIT_CyberRiskMgmt_Policy.pdf,PL-22,Media Sanitization,MP-6,MEDIUM,0,0,5,,0,,
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-01,Access Control Policy & Procedures,AC-1,HIGH,0,0,4,,0,,
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-02,Account Management,AC-2,HIGH,0,0,7,,0,,
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-03,Least Privilege / Role-Based Access,AC-6,HIGH,1,1,7,roles,1,"ce on exception requests and waivers related to this policy. stakeholder department of it (doit) - the department responsible for roles: developing, maintaining, revising, and enforcing information technology policies, procedures, and standards. state chief informa",
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-04,Multi-Factor Authentication (MFA),IA-2,HIGH,0,0,7,,0,,
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-05,Remote Access Controls,AC-17,MEDIUM,0,0,6,,0,,
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-06,Configuration Management Policy,CM-1,HIGH,1,1,5,configuration management,0, network security activities required to implement principles of a zero trust architecture (zta). 200.1 platform security 200.1.1 configuration management: all configurable it assets shall be deployed and maintained in alignment with an established security configuration baseline com,
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-07,Change Management / Change Control,CM-3,MEDIUM,1,1,5,cab,0," provider. authorization: this policy is authorized by state finance & procurement article (sf&p) § 3.5-303 and § 3.5-2a-04. applicability: this policy applies to all ""units of state government"" (as that term is defined in sf&p 3.5-101(g)), hereafter referred to ",
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-08,Audit Logging & Monitoring,AU-2,HIGH,1,1,7,audit log,1,"dware no longer supports software security capabilities (i.e., end-of-life); • secure disposal; and • media sanitization. 200.1.4 audit logs: all operating systems, applications, and services including subscription‑based services must be configured to generate appropri",
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-09,Audit Review & Alerting,AU-6,HIGH,0,0,6,,0,,
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-10,Incident Response Plan,IR-1,HIGH,0,0,6,,0,,
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-11,Incident Reporting,IR-6,HIGH,0,0,5,,0,,
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-12,Risk Assessment,RA-3,HIGH,0,0,6,,0,,
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-13,Vulnerability Scanning,RA-5,HIGH,1,1,6,vulnerability management,0,. 200.1.2 software security: all it software shall be managed and protected from vulnerabilities in alignment with an established vulnerability management plan that includes at a minimum: • software patching: apply security updates according to established timelines; • lifecycle mana,
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-14,Data Encryption in Transit,SC-8,HIGH,0,0,6,,0,,
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-15,Data Encryption at Rest,SC-28,HIGH,0,0,6,,0,,
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-16,Network Segmentation,SC-7,MEDIUM,1,1,7,zero trust,0,0 policy the following sections promote foundational system and network security activities required to implement principles of a zero trust architecture (zta). 200.1 platform security 200.1.1 configuration management: all configurable it assets shall be deployed and ma,
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-17,Security Awareness Training,AT-2,MEDIUM,0,0,5,,0,,
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-18,Personnel Screening / Background Checks,PS-3,MEDIUM,0,0,5,,0,,
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-19,Backup & Recovery,CP-9,HIGH,1,1,7,rpo,0,"ion miheer khona 02/18/2026 i state of maryland system & network policy md-pol-207-01 last updated: 02/18/2026 100 introduction purpose: this policy establishes the requirements for managing the hardware, software, and services of physical and virtual platforms t",
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-20,Contingency / Disaster Recovery Plan,CP-2,HIGH,0,0,5,,0,,
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-21,Third-Party / Vendor Risk Management,SR-1,MEDIUM,0,0,6,,0,,
MD System & Network Security Policy,MD_DOIT_SystemNetworkSecurity_Policy.pdf,PL-22,Media Sanitization,MP-6,MEDIUM,1,2,5,media sanitization; secure disposal,2,"wing: • replacement when hardware no longer supports software security capabilities (i.e., end-of-life); • secure disposal; and • media sanitization. 200.1.4 audit logs: all operating systems, applications, and services including subscription‑based services must be configured t","cordance with the following: • replacement when hardware no longer supports software security capabilities (i.e., end-of-life); • secure disposal; and • media sanitization. 200.1.4 audit logs: all operating systems, applications, and services including subscription‑based ser"
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-01,Access Control Policy & Procedures,AC-1,HIGH,0,0,4,,0,,
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-02,Account Management,AC-2,HIGH,0,0,7,,0,,
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-03,Least Privilege / Role-Based Access,AC-6,HIGH,1,2,7,least privilege; roles,1,"ategies shall be designed with the following zta goals: • real-time threat detection; • identity verification & authentication; • least privilege enforcement; • micro-segmentation analytics; and • automated response mechanisms. all operating systems, applications, and servic","nce on exception requests and waivers related to this policy. stakeholder department of it (doit)- the department responsible for roles: developing, maintaining, revising, and enforcing information technology policies, procedures, and standards. state chief informa"
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-04,Multi-Factor Authentication (MFA),IA-2,HIGH,1,1,7,authentication,0,"all monitoring strategies shall be designed with the following zta goals: • real-time threat detection; • identity verification & authentication; • least privilege enforcement; • micro-segmentation analytics; and • automated response mechanisms. all operating systems, appli",
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-05,Remote Access Controls,AC-17,MEDIUM,1,1,6,remote access,0,"ing 200.4.1 external service providers: external service providers shall be monitored to detect potentially adverse events (e.g., remote access monitoring, service providers anomalies). table 4 raci matrix – external service providers secretaries/ it doit sciso isos direct",
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-06,Configuration Management Policy,CM-1,HIGH,0,0,5,,0,,
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-07,Change Management / Change Control,CM-3,MEDIUM,1,1,5,cab,0,"rovider. authorization: this policy is authorized by state finance & procurement article (""sf&p"") § 3.5-303 and § 3.5-2a-04. applicability: this policy applies to all ""units of state government"" (as that term is defined in sf&p 3.5-101(g)), hereafter referred to ",
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-08,Audit Logging & Monitoring,AU-2,HIGH,1,2,7,logging; monitoring,0,"shall be continuously monitored to identify anomalous or otherwise adverse user behavior and network activity, with comprehensive logging, automated alerting, and full integration into incident detection and response processes. 200.1.3 system monitoring: all state sy","department of information technology office of security management information security continuous monitoring policy distribution statement: this document is approved for public distribution and may be shared with external stakeholders, pa"
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-09,Audit Review & Alerting,AU-6,HIGH,1,3,6,alert; log review; threat detection,0,"ems. this monitoring relies on existing tools such as user‑behavior analytics, log monitoring, detection technologies, and manual log reviews. these activities do not include employee surveillance, productivity tracking, recording of screens, or keystrokes, or audio/vid","ly monitored to identify anomalous or otherwise adverse user behavior and network activity, with comprehensive logging, automated alerting, and full integration into incident detection and response processes. 200.1.3 system monitoring: all state systems shall be co"
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-10,Incident Response Plan,IR-1,HIGH,1,1,6,incident response,0,med characteristics of activity in order to determine whether an incident should be declared in accordance with the md-std-308-ir incident response standard. table 5 raci matrix – event analysis secretaries/ it doit sciso isos directors managers adverse events c i a r c incide,
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-11,Incident Reporting,IR-6,HIGH,0,0,5,,0,,
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-12,Risk Assessment,RA-3,HIGH,0,0,6,,0,,
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-13,Vulnerability Scanning,RA-5,HIGH,0,0,6,,0,,
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-14,Data Encryption in Transit,SC-8,HIGH,0,0,6,,0,,
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-15,Data Encryption at Rest,SC-28,HIGH,0,0,6,,0,,
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-16,Network Segmentation,SC-7,MEDIUM,1,1,7,zero trust,0," conflicting requirement that precludes compliance. 200 policy the following sections detail the monitoring required to implement zero trust architecture (zta) principles that provide real-time visibility, detection of anomalies, and enforcement of dynamic security poli",
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-17,Security Awareness Training,AT-2,MEDIUM,0,0,5,,0,,
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-18,Personnel Screening / Background Checks,PS-3,MEDIUM,0,0,5,,0,,
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-19,Backup & Recovery,CP-9,HIGH,1,1,7,rpo,0,"iheer khona 02/18/2026 i state of maryland continuous monitoring policy md-pol-208-01 last updated: 02/18/2026 100 introduction purpose: this policy establishes the requirements for maintaining ongoing awareness of information security risks, vulnerabilities, and",
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-20,Contingency / Disaster Recovery Plan,CP-2,HIGH,0,0,5,,0,,
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-21,Third-Party / Vendor Risk Management,SR-1,MEDIUM,0,0,6,,0,,
MD Continuous Monitoring Policy,MD_DOIT_ContinuousMonitoring_Policy.pdf,PL-22,Media Sanitization,MP-6,MEDIUM,0,0,5,,0,,
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-01,Access Control Policy & Procedures,AC-1,HIGH,0,0,4,,0,,
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-02,Account Management,AC-2,HIGH,0,0,7,,0,,
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-03,Least Privilege / Role-Based Access,AC-6,HIGH,1,1,7,roles,0," public policy making by inviting the council to participate in its 2024 cybersecurity rulemaking proceeding. in exercising these roles. the council has made policy recommendations, responded to requests for assistance in drafting bills and regulations, participate",
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-04,Multi-Factor Authentication (MFA),IA-2,HIGH,1,2,7,authentication; cac,0,"-day”, when a true quantum machine is built and operating, is expected before 2035.4 9 the risks are steep. current practices for authentication and confidentiality will not withstand quantum machines. passwords and encryption that classical computers need hundreds of years","entatives from the governor’s cabinet, the state board of elections, the general assembly, critical infrastructure, academia, advocacy groups, and the cybersecurity industry, among other sectors. • the council functions as a convener of expertise to inform its re"
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-05,Remote Access Controls,AC-17,MEDIUM,0,0,6,,0,,
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-06,Configuration Management Policy,CM-1,HIGH,0,0,5,,0,,
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-07,Change Management / Change Control,CM-3,MEDIUM,1,1,5,cab,0,"ents. the council is based on the “whole of community” approach to cybersecurity. it includes representatives from the governor’s cabinet, the state board of elections, the general assembly, critical infrastructure, academia, advocacy groups, and the cybersecurit",
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-08,Audit Logging & Monitoring,AU-2,HIGH,1,1,7,monitoring,0,"aryland, baltimore. subcommittee on cyber operations and incident response subcommittee objectives • recommend best practices for monitoring and assessing cyber threats and responding to cyber-attacks or other security breaches • create or enhance shared awareness of cy",
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-09,Audit Review & Alerting,AU-6,HIGH,0,0,6,,0,,
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-10,Incident Response Plan,IR-1,HIGH,1,2,6,incident response; security incident,0,"enter and the multi-state information and analysis center. 61 the latter program has provided cyber threat intelligence and cyber incident response services to more than 100 public entities in maryland and more than 15,000 nationwide. 62 pacing these changes are the planned wo",z41zdk1svylglem_nj5a6t88vgfpp.pdf 10 ` providers protect the list of operators on its website (recommendation 14) and report cybersecurity incidents (recommendation 7). the act provides that community water providers must identify a primary cybersecurity point of contact for m
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-11,Incident Reporting,IR-6,HIGH,1,2,5,breach notification; incident reporting,0,mde with some of its responsibilities. doit must define the minimum cybersecurity standards and the guidelines and procedures for incident reporting and permit these providers to join the state information sharing and analysis center (recommendation 47). the office of security ,"yland resident must be reported by the affected entity to the attorney general’s office. before 2020, that office received 50-100 breach notifications per month. since 2020, that number has accelerated to 120 -180 per month. in 2022 alone, the number of residents impacted by the"
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-12,Risk Assessment,RA-3,HIGH,1,1,6,risk assessment,0," not covered by federal law or executive order 13636 of the president of the united states, identify best practices in conducting risk assessments to determine which local infrastructure sectors are at the greatest risk of cyber-attacks and need the most enhanced cybersecuri",
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-13,Vulnerability Scanning,RA-5,HIGH,1,1,6,cve,0,"ps://www.technologyreview.com/2025/04/04/1114228/cyberattacks-by-ai-agents-are-coming/ . see also zu, y, et al. (2025, april 10). cve-bench: a benchmark for ai agents’ ability to exploit real-world web application vulnerabilities. arxiv:2503.17332 [cs.cr]. https:",
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-14,Data Encryption in Transit,SC-8,HIGH,1,1,6,https,1,"ort was developed by dr. greg von lehmen, university of maryland global campus, as staff to the maryland cybersecurity council. 2 https://www.umgc.edu/mdcybersecuritycouncil 2 ` executive summary as we move forward, we must also recognize that cybersecurity is not ",
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-15,Data Encryption at Rest,SC-28,HIGH,0,0,6,,0,,
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-16,Network Segmentation,SC-7,MEDIUM,1,2,7,vlan; zero trust,0,"tor for cyber workforce, education, and economic advancement (‘growing maryland’s cybersecurity workforce’) • the honorable ben hovland, commissioner and chair of the federal election assistance commission (‘federal-state partnership: preparing for the 2024 electi","uestions raised in the working group meetings about federal preemption of state regulation, cybersecurity incident reporting, and zero trust implementation. the submission by council members and staff benefitted from information shared by the federal electric reliabilit"
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-17,Security Awareness Training,AT-2,MEDIUM,1,3,5,security awareness; security education; security training,0,areness as part of operator and superintendent certification (recommendation 2) and for doit to establish a list of approved cybersecurity training programs from which community water service providers can select (recommendation 42). mde must also mandate that community water ,omulgate cybersecurity standards for community water service providers (report recommendation 3). it requires mde to include cybersecurity awareness as part of operator and superintendent certification (recommendation 2) and for doit to establish a list of approved cybersecurit
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-18,Personnel Screening / Background Checks,PS-3,MEDIUM,0,0,5,,0,,
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-19,Backup & Recovery,CP-9,HIGH,1,3,7,recovery; rpo; rto,0, best practices for developing a comprehensive state strategic plan to ensure a coordinated and quickly adaptable response to and recovery from cyber- attacks and incidents • serve as a resource for its expertise to all other subcommittees subcommittee members • chair," government. it requires a whole-of-society approach, with every individual, organization, and sector playing their part. 3 the purpose of the maryland cybersecurity council is to assess the breadth and depth of cybersecurity risk to the state, to make appropriat"
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-20,Contingency / Disaster Recovery Plan,CP-2,HIGH,1,1,5,contingency plan,0, service providers must conduct a maturity assessment against the cybersecurity standards (recommendation 4). they must also have contingency plans to manage cyber disruptions (recommendation 27). the act requires doit and the maryland department of emergency management (mdem,
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-21,Third-Party / Vendor Risk Management,SR-1,MEDIUM,1,1,6,supply chain,0,"ts,5 school districts,6 and private critical infrastructure.7 some of these were direct attacks on maryland entities. others were supply chain attacks that resulted from the exploitation of vendor services or interconnected systems among regional or national organizations",
MD Cybersecurity Council Report 2025,MD_CybersecurityCouncil_Report_2025.pdf,PL-22,Media Sanitization,MP-6,MEDIUM,0,0,5,,0,,
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-01,Access Control Policy & Procedures,AC-1,HIGH,1,2,4,access control policy; access procedures,0,to operate in a production environment. state of maryland information technology security manual version 1.2 116 security control access control policy and procedures security baselines id ac-1 low moderate high maryland agencies must develop and implement an access control (ac) p,olicies and/or regulations governing how individuals may request access to records maintained in the system of records c. publish access procedures d. adhere to privacy act requirements and state policies and guidance for the proper processing of privacy act request redress ip
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-02,Account Management,AC-2,HIGH,1,3,7,account management; provisioning; user accounts,0,d the procedures reviewed and updated at least annually. state of maryland information technology security manual version 1.2 117 account management ac-2 low moderate high all maryland information systems must manage information system accounts by: 1. identifying account types ,". software installation policies are enforced through automated methods, implementation of least privilege and periodic review of user accounts. only authorized users are given necessary privileges to install software. c. policy compliance is monitored on a semi-annual bas"
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-03,Least Privilege / Role-Based Access,AC-6,HIGH,1,4,7,least privilege; permissions; rbac; roles,0,"egulations, standards, and operational requirements. the handling of information by individuals is to align with the principle of least privilege, where users only have the access required to perform the minimum set of actions, based on business requirements and processes. s",ryland information technology security manual version 1.2 208 ps personnel security ra risk assessment rar risk assessment report rbac role based access control rob rules of behavior rpc remote procedure call sa system and services acquisition sap security authori
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-04,Multi-Factor Authentication (MFA),IA-2,HIGH,1,4,7,authentication; cac; multi-factor; piv,0,thod are established and documented. b. remote access to information systems is authorized prior to allowing such connections. c. multi-factor authentication mechanisms are employed for all remote access to the network. d. when administrative actions are performed from ex,"d in the hardware, software and firmware components of the system. technical security control families include identification and authentication, access control, audit and accountability, and system and communications protection. state of maryland information technology sec"
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-05,Remote Access Controls,AC-17,MEDIUM,1,3,6,remote access; ssh; vpn,0,that can be performed when using privileged accounts should be limited including privileged functions that can be performed using remote access; duration that privileged users can be logged in should be limited; and privileged user activities must be logged and logs need t,"all remote access to the network. d. when administrative actions are performed from external connections, the use of an encrypted vpn connection is required. remote access| automated monitoring/control ac-17.1 automated mechanisms must be employed to facilitate t"
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-06,Configuration Management Policy,CM-1,HIGH,1,5,5,baseline configuration; configuration management; hardening; secure configuration; system configuration,0,security manual version 1.2 2 planning 35 service interface agreements 40 operational level controls 42 awareness and training 42 configuration management 44 contingency planning 60 incident response 72 maintenance 80 media protection 87 physical and personnel security 93 system and ,"management process to ensure changes to the systems are controlled by: ● developing, documenting, and maintaining current secured baseline configurations. ● network devices should be patched and updated for all security related updates/patches using automated tools when possible. ●"
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-07,Change Management / Change Control,CM-3,MEDIUM,1,3,5,cab; change control; change management,1,"atabases and network devices). all default system administrator passwords must be changed. agencies must implement an appropriate change management process to ensure changes to the systems are controlled by: ● developing, documenting, and maintaining current secured baseline c",land agency’s incident response team (irt). state of maryland information technology security manual version 1.2 49 configuration change control cm-3 n/a moderate high the maryland agency must ensure that: a. the types of changes to information systems that are configuratio
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-08,Audit Logging & Monitoring,AU-2,HIGH,1,5,7,audit log; event log; log management; logging; monitoring,3,before granting access to the facility. b. for environments containing systems categorized as medium and above: ○ physical access audit logs for all physical access points including designated entry and exit facility points and interior access points where the informat,ed from user connectivity. d. physical or logical separation between guest/public networks and employee/secure networks. e. event logging to a centralized log management server. wireless access| authentication and encryption ac-18.1 n/a moderate high the organization
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-09,Audit Review & Alerting,AU-6,HIGH,1,2,6,alert; audit review,0,"n the future these requirements will be further defined. state of maryland information technology security manual version 1.2 140 audit review, analysis and reporting au-6 low moderate high the maryland agency must ensure that: a. audit records for information systems are",ds contained in this manual state of maryland information technology security manual version 1.2 13 ● takes appropriate action to alert appropriate personnel of suspected intrusions to the agency mis ● analyze and document information security incidents and securit
